Word,FrequencyScore,totalReadingTime
,0.0,
Este,6.93,269
clar,5.15,551
că,6.91,65
este,6.93,651
nevoie,5.69,317
de,7.72,231
structură,4.48,803
diferită,4.44,495
a,7.45,124
cărților,4.22,491
deoarece,5.45,373
acestea,5.61,613
sunt,6.6,319
urmare,5.3,403
liniar,3.37,628
destinate,4.39,1273
să,7.14,50
fie,6.13,123
cel,6.17,246
puțin,5.78,185
în,7.47,184
cele,6.14,311
din,7.13,307
urmă,5.47,369
tipărite,3.84,617
și,7.46,123
prin,6.29,311
ar,6.32,51
trebui,5.58,481
aibă,5.16,585
stil,4.99,183
un,6.99,400
,0.0,
Pentru,6.89,496
a,7.45,61
atenua,3.07,553
problemele,4.73,741
de,7.72,227
indexare,0.0,602
expresia,4.37,566
sizeof,0.0,564
este,6.93,287
utilizată,4.35,370
în,7.47,123
mod,5.57,1300
obișnuit,4.61,537
la,7.21,101
codificarea,0.0,1017
buclelor,0.0,832
care,6.9,557
procesează,3.09,554
arrayuri,0.0,474
,0.0,
Partea,5.71,1430
nordică,3.83,658
a,7.45,123
continentului,3.65,1150
care,6.9,557
acoperă,4.49,248
o,7.11,309
mare,6.17,308
parte,5.93,558
din,7.13,365
Siberia,3.74,1034
era,6.22,383
de,7.72,353
tundrei,0.0,1177
asemenea,5.79,801
inaccesibilă,0.0,1324
nomazilor,0.0,1456
stepă,3.13,1111
cauza,5.47,516
pădurilor,4.11,998
dense,3.27,577
și,7.46,125
,0.0,
Fonturile,0.0,874
decorative,4.1,1108
sunt,6.6,310
mai,6.99,186
potrivite,3.94,556
pentru,6.89,742
caractere,4.41,916
de,7.72,617
afișare,3.38,865
mai,6.99,493
mari,5.64,316
14,5.44,311
puțin,5.78,734
în,7.47,198
puncte,4.99,1118
timp,6.1,304
ce,6.72,255
caracterele,3.5,1312
simple,4.54,494
text,4.82,187
puncte,4.99,497
,0.0,
Aceste,5.63,369
diagrame,3.28,1174
trebuie,6.15,358
interpretate,3.92,716
ca,6.69,285
niște,5.41,333
hărți,3.91,552
topografice,3.19,679
unde,5.97,249
liniile,4.3,1120
reprezintă,5.38,1148
curbe,3.53,384
de,7.72,52
nivel,5.25,166
constante,3.86,314
A,7.45,62
fost,6.72,497
descoperită,4.08,800
de,7.72,125
goons,0.0,1674
și,7.46,123
alți,5.06,185
vorbitori,3.76,430
engleză,4.84,740
și,7.46,123
pentru,6.89,307
o,7.11,246
vreme,5.3,1242
postarea,0.0,1088
între,5.94,400
cele,6.14,349
două,6.0,200
limbi,4.62,384
a,7.45,167
înflorit,3.59,469
,0.0,
Respirația,4.01,617
de,7.72,317
salvare,4.34,984
este,6.93,184
utilizată,4.35,434
dacă,6.35,308
victima,4.37,558
nu,7.01,113
începe,5.3,701
să,7.14,168
respire,3.64,299
atunci,5.99,940
când,6.27,1239
se,6.77,63
deschid,4.29,1238
căile,4.2,437
respiratorii,3.86,1794
,0.0,
Ambele,5.03,1393
utilizează,4.58,1372
intensiv,3.59,679
funcțiile,4.43,748
matematice,3.75,1066
pentru,6.89,351
a,7.45,156
descrie,4.53,566
și,7.46,112
prezice,3.55,552
lucru,5.82,428
acest,6.02,446
continue,4.42,726
unor,5.72,435
sunt,6.6,345
fizice,4.69,909
fenomene,4.19,1177
care,6.9,350
supuse,4.06,952
schimbări,4.52,744
iar,6.2,168
necesită,4.55,1087
calculului,3.11,1349
utilizarea,4.87,747
,0.0,
Ei,6.12,187
au,6.75,184
lăsat,5.01,996
în,7.47,248
urmă,5.47,882
o,7.11,101
profeție,3.34,967
conform,5.53,359
căreia,4.86,1431
lumea,5.62,248
se,6.77,245
va,6.5,60
sfârși,3.65,485
la,7.21,181
21,5.2,199
decembrie,5.48,519
2012,4.81,1323
și,7.46,435
avea,5.98,249
loc,5.87,300
cel,6.17,115
deal,4.23,284
cincilea,3.92,335
ciclu,4.18,398
al,6.63,283
lumii,5.04,168
,0.0,
Unda,3.42,746
purtătoare,3.68,1148
este,6.93,284
filtrată,0.0,600
iar,6.2,233
un,6.99,217
difuzor,3.4,601
cântă,4.46,431
în,7.47,186
funcție,5.32,434
de,7.72,125
amplitudinea,3.03,2044
semnalului,3.51,879
,0.0,
Recomandăm,3.09,1326
această,5.93,500
licență,4.39,398
în,7.47,102
principal,5.11,1593
pentru,6.89,308
lucrări,5.07,848
al,6.63,217
căror,4.82,349
scop,4.84,382
este,6.93,202
de,7.72,269
instruire,3.91,2102
sau,6.41,547
referință,4.54,448
,0.0,
În,7.47,1200
loc,5.87,217
să,7.14,124
vă,6.06,517
bazați,3.01,1162
pe,7.06,300
faptul,5.36,1663
că,6.91,557
aceștia,5.15,488
au,6.75,186
shellul,0.0,675
potrivit,5.14,371
puteți,5.42,183
specifica,3.52,1345
pur,5.1,335
și,7.46,101
simplu,5.37,585
ce,6.72,124
shell,3.24,309
ar,6.32,122
trebui,5.58,371
folosească,4.51,901
din,7.13,1620
,0.0,
Întotdeauna,5.14,1856
patriot,3.65,678
Laurens,0.0,868
a,7.45,123
continuat,4.75,925
să,7.14,185
își,5.66,185
servească,3.68,592
națiunea,3.8,817
ca,6.69,168
unul,5.86,433
dintre,6.11,458
cei,5.76,1179
1782,2.99,1270
trei,5.81,186
reprezentanți,4.39,901
selectați,3.41,664
pentru,6.89,1228
negocia,3.62,373
condițiile,4.8,622
la,7.21,167
Conferința,4.42,1148
de,7.72,802
pace,4.95,269
Paris,4.87,369
din,7.13,434
,0.0,
Fiecare,5.78,308
parte,5.93,396
șia,0.0,232
determinat,4.56,1268
noii,4.62,215
parteneri,4.27,1124
să,7.14,186
se,6.77,369
alăture,3.99,1574
prin,6.29,266
oferirea,3.6,415
de,7.72,64
concesii,3.35,1175
teritoriale,4.55,978
În,7.47,61
încercarea,4.37,1235
de,7.72,217
a,7.45,61
îmbunătăți,3.97,1224
acuratețea,3.34,1465
armata,4.88,556
angajat,4.75,431
un,6.99,244
grup,5.18,272
mare,6.17,483
pentru,6.89,1104
diferențiale,0.0,860
continuu,4.46,653
calcula,3.67,846
matematicieni,3.05,1766
ecuațiile,3.04,615
necesare,4.78,437
rezolvarea,4.21,866
tabelelor,0.0,599
tragere,3.99,347
balistică,3.23,681
,0.0,
Capitolul,4.55,1098
al,6.63,102
doilea,5.22,217
investighează,3.56,1537
această,5.93,615
legătură,5.16,1247
puțin,5.78,282
mai,6.99,217
amănunțit,3.32,398
discutând,3.32,1178
gimnastica,3.42,677
mentală,3.77,682
a,7.45,115
rezolvării,3.23,749
problemelor,4.4,1112
,0.0,
Tabloul,4.14,899
clasic,4.44,183
Playfair,0.0,997
este,6.93,124
format,5.06,248
din,7.13,370
patru,5.46,620
alfabete,0.0,823
de,7.72,686
obicei,5.09,450
în,7.47,61
aranjament,3.81,1350
pătrat,4.04,1451
două,6.0,492
texte,4.46,245
clar,5.15,246
și,7.46,62
cifrate,0.0,747
,0.0,
Deoarece,5.45,552
un,6.99,515
singur,5.28,603
reflector,0.0,534
parabolic,0.0,1000
atinge,4.68,665
o,7.11,122
precizie,4.15,371
de,7.72,246
focalizare,3.17,1438
mai,6.99,551
mare,6.17,557
decât,5.9,601
ceea,5.91,285
temperatură,4.32,1494
orice,5.8,797
banc,3.45,806
oglinzi,3.75,809
focalizarea,0.0,851
este,6.93,282
folosită,4.67,673
pentru,6.89,495
a,7.45,123
permite,5.02,866
ridicată,4.62,649
ce,6.72,218
conversie,3.56,1662
foarte,6.14,851
eficientă,4.12,717
căldurii,3.74,1115
în,7.47,62
generator,3.75,1069
mecanică,4.04,1173
energie,4.91,493
acționa,3.94,474
electric,4.62,668
,0.0,
Teatrul,4.84,998
a,7.45,102
contribuit,4.45,667
cu,7.05,191
strigăte,3.34,738
dramatice,3.96,990
inclusiv,5.33,185
cele,6.14,250
ale,6.25,124
lui,6.47,371
Mary,4.71,247
Otis,3.42,432
Warren,4.14,820
,0.0,
Aproape,5.68,801
de,7.72,123
sfârșitul,5.16,672
războiului,4.51,1799
Germania,5.13,599
încearcă,5.0,384
să,7.14,266
lupte,4.64,202
pentru,6.89,364
o,7.11,125
ultimă,4.29,494
luptă,5.16,1165
Aliații,3.87,634
,0.0,
Oțelurile,0.0,1176
sunt,6.6,432
adesea,4.92,555
supuse,4.06,558
la,7.21,1050
o,7.11,101
varietate,4.37,1006
de,7.72,186
tratamente,3.9,867
termice,4.04,617
concepute,3.98,677
pentru,6.89,1303
a,7.45,617
produce,4.88,369
diverse,5.13,745
combinații,4.04,929
faze,4.04,374
stabile,3.78,496
și,7.46,186
metastabile,0.0,3101
ale,6.25,373
fierului,3.67,498
,0.0,
Până,6.09,301
în,7.47,231
anii,5.2,168
1960,4.39,433
tot,6.1,167
mai,6.99,355
multe,5.93,307
trimiteri,3.24,676
poștale,4.01,500
erau,5.53,184
francate,0.0,1679
cu,7.05,177
aparate,4.26,480
de,7.72,248
taxat,3.15,558
tradiționale,4.62,751
decât,5.9,619
timbre,3.48,333
adezive,0.0,750
,0.0,
Lucrarea,4.8,1125
combinată,3.75,884
trebuie,6.15,318
să,7.14,165
conțină,3.69,377
doar,6.14,248
un,6.99,186
singur,5.28,433
exemplar,3.98,370
al,6.63,62
prezentei,0.0,869
licențe,3.56,744
exemplar,3.98,2377
iar,6.2,310
secțiunile,3.65,616
invariabile,0.0,741
multiple,4.42,712
și,7.46,165
identice,4.03,1102
pot,6.07,234
fi,6.59,115
înlocuite,3.93,860
cu,7.05,122
,0.0,
În,7.47,311
timp,6.1,434
carnea,4.31,664
se,6.77,166
înmoaie,3.32,482
și,7.46,51
își,5.66,549
dezvoltă,4.53,536
mai,6.99,557
mult,6.2,248
gustul,4.23,681
iar,6.2,214
pentru,6.89,499
anumite,5.01,533
tipuri,4.88,832
învechire,0.0,904
carne,4.77,683
de,7.72,373
acest,6.02,542
proces,4.93,373
poate,6.31,151
fi,6.59,232
prelungit,3.96,883
cu,7.05,118
grijă,4.98,426
printrun,0.0,804
numit,5.05,430
,0.0,
James,4.99,559
a,7.45,100
fost,6.72,307
răsturnat,3.74,1942
din,7.13,189
punct,5.39,435
de,7.72,124
vedere,5.57,372
tehnic,4.55,431
reținut,4.24,1067
Parlament,4.53,1404
în,7.47,126
sânge,4.93,561
fără,5.95,436
Revoluția,4.34,992
Glorioasă,3.23,1241
din,7.13,245
1688,2.5,491
care,6.9,682
avut,5.88,118
loc,5.87,600
vărsare,3.53,907
,0.0,
Ca,6.69,318
și,7.46,417
în,7.47,63
cazul,5.39,62
creării,3.89,2008
de,7.72,316
tablouri,4.03,433
fără,5.95,701
alocare,3.24,1703
dinamică,3.93,664
programatorul,0.0,1651
trebuie,6.15,724
utiliza,4.13,1304
înainte,5.67,263
sensibile,3.77,1146
valori,4.66,953
tabloul,4.14,245
inițializeze,0.0,2237
cu,7.05,187
al,6.63,499
,0.0,
A,7.45,516
trăi,4.64,1527
complet,5.1,309
în,7.47,246
acest,6.02,373
mod,5.57,251
întro,0.0,611
societate,4.71,450
urbanizată,0.0,950
și,7.46,100
industrială,4.16,829
înseamnă,5.44,1240
a,7.45,61
te,6.1,124
periferie,3.31,632
la,7.21,165
retrage,4.27,550
,0.0,
Stăpânii,3.59,618
războiului,4.51,803
din,7.13,248
numeroasele,4.07,1259
provincii,3.61,683
ale,6.25,166
Chinei,4.1,619
se,6.77,178
dușmăneau,0.0,1304
în,7.47,61
mod,5.57,435
descentralizat,0.0,1590
era,6.22,303
guvernul,5.23,517
constant,4.52,1316
iar,6.2,218
central,4.85,927
slab,4.62,370
și,7.46,63
neputând,3.67,1535
face,6.08,248
nimic,5.56,309
pentru,6.89,1207
conflictul,4.23,582
opri,4.49,485
,0.0,
A,7.45,116
doua,5.51,1050
zi,5.83,116
în,7.47,431
timpul,5.8,493
Fajr,0.0,683
Salaah,0.0,868
la,7.21,249
înjunghiat,3.74,1608
pe,7.06,311
Sayyiduna,0.0,1111
Umar,3.44,431
radi,0.0,344
Allahu,0.0,642
anhu,0.0,435
grav,4.62,249
rănindul,0.0,494
spate,5.01,309
de,7.72,124
6,5.69,63
ori,5.64,123
calif,0.0,1436
,0.0,
Deoarece,5.45,1219
ideea,5.14,248
elementară,3.45,1051
de,7.72,122
funcții,4.78,250
este,6.93,497
mai,6.99,561
bine,6.02,314
înțeleasă,3.77,246
din,7.13,125
punct,5.39,307
vedere,5.57,743
continuare,4.85,547
în,7.47,344
vom,5.58,176
o,7.11,123
clasic,4.44,498
folosi,4.98,68
,0.0,
Această,5.93,333
problemă,5.08,748
a,7.45,116
agitat,3.74,309
teologii,3.29,620
și,7.46,118
filozofii,3.15,624
timp,6.1,1118
secole,4.34,411
de,7.72,124
nu,7.01,99
fost,6.72,201
niciodată,5.35,1250
satisfăcător,3.3,1046
în,7.47,252
rezolvată,3.78,743
mod,5.57,309
,0.0,
Dacă,6.35,225
este,6.93,497
posibil,5.22,310
găsiți,4.64,308
un,6.99,186
apicultor,0.0,775
din,7.13,114
zona,5.44,219
dumneavoastră,5.1,1728
care,6.9,246
ar,6.32,63
putea,5.91,309
fi,6.59,123
dispus,4.5,556
noului,4.65,826
timpul,5.8,725
vă,6.06,445
sau,6.41,279
ghideze,3.28,994
să,7.14,317
chiar,6.06,500
îndrume,3.02,1157
în,7.47,62
interes,4.89,1000
,0.0,
Deși,5.55,754
necesită,4.55,600
disciplină,4.08,600
este,6.93,275
extrem,4.88,371
de,7.72,115
important,5.37,742
să,7.14,129
se,6.77,101
lucreze,4.53,534
sistematic,3.96,601
în,7.47,648
sens,4.92,517
persoană,5.23,726
pentru,6.89,424
acestora,5.11,361
timp,6.1,1083
invers,4.28,700
epuizând,0.0,1703
toate,6.05,412
sursele,4.21,373
înregistrări,4.1,1118
fiecare,5.78,377
înainte,5.67,1002
a,7.45,216
ocupa,4.56,433
părinții,5.05,520
și,7.46,247
bunicii,4.19,370
,0.0,
Scoatețile,0.0,1861
prin,6.29,225
găurire,0.0,1749
folosind,4.85,352
,0.0,
Scoatețile,0.0,1623
prin,6.29,123
găurire,0.0,482
folosind,4.85,620
o,7.11,63
viteză,4.68,371
foarte,6.14,410
mică,5.26,218
de,7.72,314
sau,6.41,369
utilizați,3.88,488
unealtă,3.69,682
extragere,3.39,564
șuruburilor,0.0,1370
pentru,6.89,434
șuruburile,0.0,1504
blocate,3.81,620
,0.0,
Pe,7.06,1057
lângă,5.43,776
faptul,5.36,433
că,6.91,101
a,7.45,114
fost,6.72,1299
regină,4.36,383
Regatului,4.09,789
Unit,4.45,244
al,6.63,434
Marii,4.9,249
Britanii,4.24,431
și,7.46,187
Irlandei,3.7,399
primul,5.73,669
monarh,3.3,555
care,6.9,185
folosit,5.22,185
titlul,5.0,307
de,7.72,290
Împărăteasă,3.16,486
Indiei,3.62,502
,0.0,
Adesea,4.92,991
paginile,4.14,559
de,7.72,123
discuții,4.27,1246
ale,6.25,153
subiectelor,3.29,999
controversate,3.8,702
pot,6.07,308
fi,6.59,311
foarte,6.14,186
intens,4.31,369
utilizate,4.77,1255
,0.0,
Elementul,4.19,1726
central,4.85,327
al,6.63,105
mănăstirii,4.41,1182
renovate,3.21,1308
a,7.45,63
fost,6.72,246
un,6.99,122
altar,4.07,187
dedicat,4.69,310
lui,6.47,332
Edward,4.47,268
,0.0,
Mulți,5.44,1150
protiști,0.0,1922
de,7.72,434
apă,5.49,309
dulce,4.61,370
au,6.75,123
vacuole,0.0,1474
contractile,0.0,1630
care,6.9,309
pompează,0.0,866
excesul,3.45,869
din,7.13,248
interiorul,4.92,1792
menținând,3.45,1166
celulă,4.1,809
astfel,5.83,572
o,7.11,61
concentrație,3.79,1675
adecvată,3.81,495
ioni,3.33,248
și,7.46,373
molecule,3.59,620
în,7.47,308
celulei,3.48,559
,0.0,
Prin,6.29,557
urmare,5.3,484
indiferent,4.91,1381
cât,5.98,179
de,7.72,462
mult,6.2,664
argou,0.0,561
folosiți,4.26,555
în,7.47,122
limba,5.36,353
dvs,5.29,372
maternă,4.1,732
limitarea,3.76,469
utilizării,4.1,1295
argoului,0.0,679
franceză,4.64,817
proporțional,3.73,1190
cu,7.05,65
nivelul,5.07,622
fluență,0.0,429
va,6.5,61
limita,4.64,1029
ascultătorii,3.12,1877
asemenea,5.79,892
sunteți,5.06,1499
tratat,4.45,318
condescendență,0.0,3384
și,7.46,544
râsul,3.75,316
către,6.0,600
nativi,3.55,267
,0.0,
Dacă,6.35,864
nu,7.01,622
masați,0.0,933
ușor,5.42,331
mușchiul,3.47,1574
înghesuit,3.26,739
puteți,5.42,434
încerca,4.77,772
de,7.72,116
asemenea,5.79,567
să,7.14,232
aplicați,0.0,953
gheață,4.5,682
,0.0,
Analizatorul,0.0,1938
lexical,0.0,1099
este,6.93,477
partea,5.71,375
din,7.13,368
compilator,0.0,993
care,6.9,496
elimină,3.84,555
spațiile,3.98,370
albe,4.55,1395
și,7.46,52
alte,5.9,1114
caractere,4.41,1234
necompilabile,0.0,2170
codul,4.88,529
sursă,4.77,500
,0.0,
Atunci,5.99,1177
când,6.27,313
un,6.99,167
text,4.82,116
nu,7.01,517
susține,4.87,1244
această,5.93,308
regulă,4.74,1056
chiar,6.06,248
și,7.46,243
elev,4.24,267
sârguincios,0.0,2394
este,6.93,371
nevoit,4.39,621
materialul,4.48,1340
inutil,4.1,885
repete,3.7,582
să,7.14,168
,0.0,
Cu,7.05,311
toate,6.05,311
acestea,5.61,433
Washingtonul,3.14,1181
a,7.45,124
devenit,5.33,632
foarte,6.14,334
îngrijorat,3.8,989
de,7.72,373
faptul,5.36,311
că,6.91,61
partidele,4.23,1214
sfârșitul,5.16,695
Franța,4.99,421
câștiga,4.6,644
ar,6.32,255
locale,5.15,1231
comuniste,4.35,951
putea,5.91,369
puterea,5.09,616
în,7.47,123
Italia,4.99,433
și,7.46,60
Grecia,4.7,490
la,7.21,123
anilor,4.83,584
postbelice,3.07,750
europene,5.22,1327
economiei,4.49,912
precară,3.71,1526
starea,4.75,575
vedere,5.57,830
având,5.42,562
1940,4.22,1637
apropierea,4.73,2039
Uniunii,5.05,628
Sovietice,4.33,310
,0.0,
După,6.35,550
război,5.21,317
Hitler,4.42,367
a,7.45,66
rămas,5.27,392
în,7.47,100
armată,4.75,373
și,7.46,122
după,6.35,309
ce,6.72,124
primit,5.43,495
cursuri,4.64,681
informații,5.14,724
partidele,4.23,564
infiltrarea,0.0,749
însărcinat,3.62,1544
oratorie,0.0,1305
devenit,5.33,367
ofițer,4.77,399
de,7.72,501
cu,7.05,184
politice,5.14,1349
raportarea,3.3,620
către,6.0,247
superiorii,3.27,616
săi,5.14,184
privire,5.07,367
la,7.21,63
activitățile,4.5,555
acestora,5.11,678
,0.0,
În,7.47,1216
aceste,5.63,333
cazuri,4.88,1007
rolul,5.09,369
agentului,3.81,668
de,7.72,229
punere,3.62,1211
în,7.47,124
aplicare,4.36,1046
este,6.93,306
a,7.45,185
furniza,3.84,491
inputurile,0.0,1115
inclusiv,5.33,492
bază,5.21,557
dar,6.46,215
numai,5.69,1813
capitalul,3.91,739
care,6.9,435
va,6.5,167
da,5.62,368
startul,3.85,442
proiectului,4.92,685
și,7.46,232
permite,5.02,560
plecarea,4.35,680
după,6.35,559
impuls,3.9,1152
propriul,4.71,1463
continue,4.42,783
să,7.14,247
acestuia,5.3,742
sub,5.85,250
aplicare,4.36,433
,0.0,
În,7.47,435
general,5.54,1220
le,6.31,100
este,6.93,600
mai,6.99,294
bine,6.02,309
să,7.14,60
își,5.66,123
folosească,4.51,805
Neul,0.0,1914
precum,5.8,450
și,7.46,293
capacitățile,3.73,932
de,7.72,494
ale,6.25,1174
raționament,3.41,934
lui,6.47,1026
Ti,4.91,101
pentru,6.89,800
a,7.45,65
afla,5.16,407
adevărul,4.93,682
decât,5.9,499
se,6.77,62
bazeze,3.52,309
pe,7.06,184
tradițiile,4.16,1049
Si,6.56,399
,0.0,
Este,6.93,248
posibil,5.22,494
ca,6.69,51
unele,5.49,51
părți,4.99,667
să,7.14,547
nu,7.01,186
fie,6.13,187
consumate,3.66,1686
niciodată,5.35,801
iar,6.2,768
altele,5.08,526
sunt,6.6,249
procesate,3.13,862
suplimentare,4.48,1890
mod,5.57,638
în,7.47,124
normal,5.04,599
și,7.46,201
carne,4.77,818
cușer,0.0,682
Statele,5.09,684
Unite,5.09,391
din,7.13,168
cauza,5.47,282
muncii,4.76,499
care,6.9,372
implică,4.59,372
,0.0,
Două,6.0,699
sau,6.41,547
mai,6.99,284
multe,5.93,383
state,4.85,356
nu,7.01,184
vor,6.05,372
încheia,3.97,497
niciun,5.12,557
tratat,4.45,300
confederație,0.0,783
alianță,4.03,699
între,5.94,436
reunit,3.92,743
și,7.46,123
se,6.77,374
ele,5.43,620
fără,5.95,247
consimțământul,3.67,2901
Statelor,4.77,818
Unite,5.09,715
în,7.47,186
Congresul,4.25,1663
specificând,0.0,983
cu,7.05,102
exactitate,3.76,1624
acestuia,5.3,868
durata,4.64,822
încheie,4.51,870
pentru,6.89,1158
scopurile,3.74,1188
care,6.9,538
de,7.72,280
valabilitate,3.14,951
a,7.45,51
,0.0,
Până,6.09,232
la,7.21,384
începutul,5.2,500
secolului,4.83,1137
al,6.63,435
XIXlea,0.0,1011
naturaliștii,0.0,1033
și,7.46,168
oamenii,5.58,794
de,7.72,122
știință,4.78,619
au,6.75,61
observat,4.75,614
cei,5.76,344
proveneau,3.35,593
între,5.94,592
esențiale,4.27,1072
diferențe,4.21,749
compușii,3.15,740
care,6.9,482
din,7.13,218
ființe,4.22,383
vii,5.07,448
nu,7.01,1291
vii,5.07,167
,0.0,
A,7.45,151
avut,5.88,318
un,6.99,525
dosar,4.34,432
de,7.72,165
serviciu,4.94,1555
exemplar,3.98,652
și,7.46,247
a,7.45,125
primit,5.43,574
prestigioasa,3.28,1060
Cruce,4.55,310
Fier,4.61,310
atât,5.86,767
clasa,5.02,335
cât,5.98,701
IIa,0.0,308
obținut,5.04,494
asemenea,5.79,432
gradul,4.72,475
caporal,3.42,334
,0.0,
În,7.47,268
etapa,4.63,414
finală,4.79,812
unul,5.86,123
dintre,6.11,557
hidrogenii,0.0,1113
moleculei,0.0,1429
de,7.72,681
apă,5.49,234
legată,4.55,1198
este,6.93,244
atacat,4.72,554
o,7.11,167
altă,5.43,751
moleculă,3.14,1258
apă,5.49,246
lăsând,4.33,430
un,6.99,668
alcool,4.37,333
,0.0,
Este,6.93,805
important,5.37,435
ca,6.69,310
atunci,5.99,739
când,6.27,316
planificați,0.0,783
o,7.11,101
lecție,4.27,490
de,7.72,183
învățare,4.0,685
mixtă,3.76,554
în,7.47,187
clasele,4.3,433
primare,4.19,1183
vă,6.06,173
să,7.14,115
concentrați,3.61,680
pe,7.06,186
unitate,4.74,309
studiu,4.88,514
apoi,5.76,334
împletiți,0.0,650
cu,7.05,115
tehnologia,4.46,831
,0.0,
Cele,6.14,246
mai,6.99,186
multe,5.93,372
interogări,0.0,927
DNS,3.12,496
cum,6.28,556
fi,6.59,185
cererile,3.94,559
de,7.72,746
rezolvare,3.78,572
a,7.45,284
numelui,4.22,881
utilizează,4.58,672
mică,5.26,646
sarcină,4.32,1123
deoarece,5.45,680
UDP,0.0,757
conexiuni,3.82,1601
cantitatea,4.38,1767
date,5.38,874
transferate,3.87,685
este,6.93,217
iar,6.2,282
stabilirea,4.47,1051
nume,5.32,1481
sesiunii,3.3,1114
ar,6.32,151
introduce,4.26,583
un,6.99,217
trafic,4.39,398
și,7.46,186
o,7.11,123
inutile,3.87,2381
asupra,5.67,764
serverelor,0.0,744
,0.0,
Unii,5.15,851
elevi,4.51,352
consideră,4.98,625
că,6.91,248
ablativul,0.0,685
este,6.93,184
dificil,4.65,434
deoarece,5.45,495
uneori,5.17,494
seamănă,4.34,492
cu,7.05,309
nominativul,0.0,1367
singular,3.66,818
dativul,0.0,370
plural,3.62,310
sau,6.41,309
niciunul,4.26,375
dintre,6.11,308
acestea,5.61,233
sămânța,3.54,233
,0.0,
La,7.21,351
multe,5.93,266
specii,4.45,526
anuale,4.26,681
în,7.47,123
condiții,4.87,678
nefavorabile,3.64,942
de,7.72,168
