SentenceNumber,Word,totalReadingTime
,,
1,Este,269
1,clar,551
1,că,65
1,este,651
1,nevoie,317
1,de,231
1,structură,803
1,diferită,495
1,a,124
1,"cărților,",491
1,deoarece,373
1,acestea,613
1,sunt,319
1,"urmare,",403
1,liniar.,628
1,destinate,1273
1,să,50
1,fie,123
1,(cel,246
1,puțin,185
1,în,184
1,cele,311
1,din,307
1,urmă),369
1,tipărite,617
1,"și,",123
1,prin,311
1,ar,51
1,trebui,481
1,aibă,585
1,stil,183
1,un,400
,,
2,Pentru,496
2,a,61
2,atenua,553
2,problemele,741
2,de,227
2,"indexare,",602
2,expresia,566
2,sizeof(),564
2,este,287
2,utilizată,370
2,în,123
2,mod,1300
2,obișnuit,537
2,la,101
2,codificarea,1017
2,buclelor,832
2,care,557
2,procesează,554
2,array-uri.,474
,,
3,Partea,1430
3,nordică,658
3,a,123
3,"continentului,",1150
3,care,557
3,acoperă,248
3,o,309
3,mare,308
3,parte,558
3,din,365
3,"Siberia,",1034
3,"era,",383
3,de,353
3,tundrei.,1177
3,"asemenea,",801
3,inaccesibilă,1324
3,nomazilor,1456
3,stepă,1111
3,cauza,516
3,pădurilor,998
3,dense,577
3,și,125
,,
4,Fonturile,874
4,decorative,1108
4,sunt,310
4,mai,186
4,potrivite,556
4,pentru,742
4,caractere,916
4,de,617
4,afișare,865
4,(mai,493
4,mari,316
4,14,311
4,puțin,734
4,în,198
4,"puncte),",1118
4,timp,304
4,ce,255
4,caracterele,1312
4,simple,494
4,text,187
4,puncte).,497
,,
5,Aceste,369
5,diagrame,1174
5,trebuie,358
5,interpretate,716
5,ca,285
5,niște,333
5,hărți,552
5,"topografice,",679
5,unde,249
5,liniile,1120
5,reprezintă,1148
5,curbe,384
5,de,52
5,nivel,166
5,constante.,314
5,A,62
5,fost,497
5,descoperită,800
5,de,125
5,goons,1674
5,și,123
5,alți,185
5,vorbitori,430
5,engleză,740
5,"și,",123
5,pentru,307
5,o,246
5,"vreme,",1242
5,postarea,1088
5,între,400
5,cele,349
5,două,200
5,limbi,384
5,a,167
5,înflorit.,469
,,
6,Respirația,617
6,de,317
6,salvare,984
6,este,184
6,utilizată,434
6,dacă,308
6,victima,558
6,nu,113
6,începe,701
6,să,168
6,respire,299
6,atunci,940
6,când,1239
6,se,63
6,deschid,1238
6,căile,437
6,respiratorii.,1794
,,
7,Ambele,1393
7,utilizează,1372
7,intensiv,679
7,funcțiile,748
7,matematice,1066
7,pentru,351
7,a,156
7,descrie,566
7,și,112
7,prezice,552
7,lucru,428
7,acest,446
7,"continue,",726
7,unor,435
7,sunt,345
7,fizice,909
7,fenomene,1177
7,care,350
7,supuse,952
7,schimbări,744
7,iar,168
7,necesită,1087
7,calculului.,1349
7,utilizarea,747
,,
8,Ei,187
8,au,184
8,lăsat,996
8,în,248
8,urmă,882
8,o,101
8,profeție,967
8,conform,359
8,căreia,1431
8,lumea,248
8,se,245
8,va,60
8,sfârși,485
8,la,181
8,21,199
8,decembrie,519
8,2012,1323
8,și,435
8,avea,249
8,loc,300
8,cel,115
8,de-al,284
8,cincilea,335
8,ciclu,398
8,al,283
8,lumii.,168
,,
9,Unda,746
9,purtătoare,1148
9,este,284
9,"filtrată,",600
9,iar,233
9,un,217
9,difuzor,601
9,cântă,431
9,în,186
9,funcție,434
9,de,125
9,amplitudinea,2044
9,semnalului.,879
,,
10,Recomandăm,1326
10,această,500
10,licență,398
10,în,102
10,principal,1593
10,pentru,308
10,lucrări,848
10,al,217
10,căror,349
10,scop,382
10,este,202
10,de,269
10,instruire,2102
10,sau,547
10,referință.,448
,,
11,În,1200
11,loc,217
11,să,124
11,vă,517
11,bazați,1162
11,pe,300
11,faptul,1663
11,că,557
11,aceștia,488
11,au,186
11,shell-ul,675
11,"potrivit,",371
11,puteți,183
11,specifica,1345
11,pur,335
11,și,101
11,simplu,585
11,ce,124
11,shell,309
11,ar,122
11,trebui,371
11,folosească.,901
11,din,1620
,,
12,Întotdeauna,1856
12,"patriot,",678
12,Laurens,868
12,a,123
12,continuat,925
12,să,185
12,își,185
12,servească,592
12,națiunea,817
12,ca,168
12,unul,433
12,dintre,458
12,cei,1179
12,1782,1270
12,trei,186
12,reprezentanți,901
12,selectați,664
12,pentru,1228
12,negocia,373
12,condițiile,622
12,la,167
12,Conferința,1148
12,de,802
12,pace,269
12,Paris,369
12,din,434
,,
13,Fiecare,308
13,parte,396
13,și-a,232
13,determinat,1268
13,noii,215
13,parteneri,1124
13,să,186
13,se,369
13,alăture,1574
13,prin,266
13,oferirea,415
13,de,64
13,concesii,1175
13,teritoriale.,978
13,În,61
13,încercarea,1235
13,de,217
13,a,61
13,îmbunătăți,1224
13,"acuratețea,",1465
13,armata,556
13,angajat,431
13,un,244
13,grup,272
13,mare,483
13,pentru,1104
13,diferențiale,860
13,continuu,653
13,calcula,846
13,matematicieni,1766
13,ecuațiile,615
13,necesare,437
13,rezolvarea,866
13,tabelelor,599
13,tragere,347
13,balistică.,681
,,
14,Capitolul,1098
14,al,102
14,doilea,217
14,investighează,1537
14,această,615
14,legătură,1247
14,puțin,282
14,mai,217
14,"amănunțit,",398
14,discutând,1178
14,gimnastica,677
14,mentală,682
14,a,115
14,rezolvării,749
14,problemelor.,1112
,,
15,Tabloul,899
15,clasic,183
15,Playfair,997
15,este,124
15,format,248
15,din,370
15,patru,620
15,"alfabete,",823
15,de,686
15,obicei,450
15,în,61
15,aranjament,1350
15,"pătrat,",1451
15,două,492
15,texte,245
15,clar,246
15,și,62
15,cifrate.,747
,,
16,Deoarece,552
16,un,515
16,singur,603
16,reflector,534
16,parabolic,1000
16,atinge,665
16,o,122
16,precizie,371
16,de,246
16,focalizare,1438
16,mai,551
16,mare,557
16,decât,601
16,ceea,285
16,temperatură,1494
16,orice,797
16,banc,806
16,"oglinzi,",809
16,focalizarea,851
16,este,282
16,folosită,673
16,pentru,495
16,a,123
16,permite,866
16,"ridicată,",649
16,ce,218
16,conversie,1662
16,foarte,851
16,eficientă,717
16,căldurii,1115
16,în,62
16,generator,1069
16,mecanică,1173
16,energie,493
16,acționa,474
16,electric.,668
,,
17,Teatrul,998
17,a,102
17,contribuit,667
17,cu,191
17,strigăte,738
17,"dramatice,",990
17,inclusiv,185
17,cele,250
17,ale,124
17,lui,371
17,Mary,247
17,Otis,432
17,Warren.,820
,,
18,Aproape,801
18,de,123
18,sfârșitul,672
18,"războiului,",1799
18,Germania,599
18,încearcă,384
18,să,266
18,lupte,202
18,pentru,364
18,o,125
18,ultimă,494
18,luptă,1165
18,Aliații.,634
,,
19,Oțelurile,1176
19,sunt,432
19,adesea,555
19,supuse,558
19,la,1050
19,o,101
19,varietate,1006
19,de,186
19,tratamente,867
19,termice,617
19,concepute,677
19,pentru,1303
19,a,617
19,produce,369
19,diverse,745
19,combinații,929
19,faze,374
19,stabile,496
19,și,186
19,metastabile,3101
19,ale,373
19,fierului.,498
,,
20,Până,301
20,în,231
20,anii,168
20,"1960,",433
20,tot,167
20,mai,355
20,multe,307
20,trimiteri,676
20,poștale,500
20,erau,184
20,francate,1679
20,cu,177
20,aparate,480
20,de,248
20,taxat,558
20,tradiționale.,751
20,decât,619
20,timbre,333
20,adezive,750
,,
21,Lucrarea,1125
21,combinată,884
21,trebuie,318
21,să,165
21,conțină,377
21,doar,248
21,un,186
21,singur,433
21,exemplar,370
21,al,62
21,prezentei,869
21,"licențe,",744
21,exemplar.,2377
21,iar,310
21,secțiunile,616
21,invariabile,741
21,multiple,712
21,și,165
21,identice,1102
21,pot,234
21,fi,115
21,înlocuite,860
21,cu,122
,,
22,În,311
22,"timp,",434
22,carnea,664
22,se,166
22,înmoaie,482
22,și,51
22,își,549
22,dezvoltă,536
22,mai,557
22,mult,248
22,"gustul,",681
22,iar,214
22,pentru,499
22,anumite,533
22,tipuri,832
22,învechire.,904
22,carne,683
22,de,373
22,acest,542
22,proces,373
22,poate,151
22,fi,232
22,prelungit,883
22,cu,118
22,grijă,426
22,printr-un,804
22,numit,430
,,
23,James,559
23,a,100
23,fost,307
23,răsturnat,1942
23,(din,189
23,punct,435
23,de,124
23,vedere,372
23,"tehnic,",431
23,reținut,1067
23,Parlament),1404
23,în,126
23,sânge.,561
23,fără,436
23,Revoluția,992
23,Glorioasă,1241
23,din,245
23,"1688,",491
23,care,682
23,avut,118
23,loc,600
23,vărsare,907
,,
24,Ca,318
24,și,417
24,în,63
24,cazul,62
24,creării,2008
24,de,316
24,tablouri,433
24,fără,701
24,alocare,1703
24,"dinamică,",664
24,programatorul,1651
24,trebuie,724
24,utiliza.,1304
24,înainte,263
24,sensibile,1146
24,valori,953
24,tabloul,245
24,inițializeze,2237
24,cu,187
24,a-l,499
,,
25,A,516
25,trăi,1527
25,complet,309
25,în,246
25,acest,373
25,mod,251
25,într-o,611
25,societate,450
25,urbanizată,950
25,și,100
25,industrială,829
25,înseamnă,1240
25,a,61
25,te,124
25,periferie.,632
25,la,165
25,retrage,550
,,
26,Stăpânii,618
26,războiului,803
26,din,248
26,numeroasele,1259
26,provincii,683
26,ale,166
26,Chinei,619
26,se,178
26,dușmăneau,1304
26,în,61
26,mod,435
26,"descentralizat,",1590
26,era,303
26,guvernul,517
26,"constant,",1316
26,iar,218
26,central,927
26,slab,370
26,și,63
26,neputând,1535
26,face,248
26,nimic,309
26,pentru,1207
26,conflictul.,582
26,opri,485
,,
27,A,116
27,doua,1050
27,"zi,",116
27,în,431
27,timpul,493
27,Fajr,683
27,"Salaah,",868
27,l-a,249
27,înjunghiat,1608
27,pe,311
27,Sayyiduna,1111
27,Umar,431
27,(radi,344
27,Allahu,642
27,anhu),435
27,grav,249
27,rănindu-l,494
27,"spate,",309
27,de,124
27,6,63
27,ori,123
27,calif.,1436
,,
28,Deoarece,1219
28,ideea,248
28,elementară,1051
28,de,122
28,funcții,250
28,este,497
28,mai,561
28,bine,314
28,înțeleasă,246
28,din,125
28,punct,307
28,vedere,743
28,continuare.,547
28,în,344
28,vom,176
28,o,123
28,"clasic,",498
28,folosi,68
,,
29,Această,333
29,problemă,748
29,a,116
29,agitat,309
29,teologii,620
29,și,118
29,filozofii,624
29,timp,1118
29,secole,411
29,de,124
29,nu,99
29,fost,201
29,niciodată,1250
29,satisfăcător.,1046
29,în,252
29,rezolvată,743
29,mod,309
,,
30,Dacă,225
30,este,497
30,"posibil,",310
30,găsiți,308
30,un,186
30,apicultor,775
30,din,114
30,zona,219
30,dumneavoastră,1728
30,care,246
30,ar,63
30,putea,309
30,fi,123
30,dispus,556
30,noului,826
30,timpul,725
30,vă,445
30,sau,279
30,ghideze,994
30,să,317
30,chiar,500
30,îndrume,1157
30,în,62
30,interes.,1000
,,
31,Deși,754
31,necesită,600
31,"disciplină,",600
31,este,275
31,extrem,371
31,de,115
31,important,742
31,să,129
31,se,101
31,lucreze,534
31,sistematic,601
31,în,648
31,sens,517
31,"persoană,",726
31,pentru,424
31,acestora.,361
31,"timp,",1083
31,invers,700
31,epuizând,1703
31,toate,412
31,sursele,373
31,înregistrări,1118
31,fiecare,377
31,înainte,1002
31,a,216
31,ocupa,433
31,părinții,520
31,și,247
31,bunicii,370
,,
32,Scoateți-le,1861
32,prin,225
32,găurire,1749
32,folosind,352
,,
33,Scoateți-le,1623
33,prin,123
33,găurire,482
33,folosind,620
33,o,63
33,viteză,371
33,foarte,410
33,mică,218
33,de,314
33,sau,369
33,utilizați,488
33,unealtă,682
33,extragere,564
33,șuruburilor,1370
33,pentru,434
33,șuruburile,1504
33,blocate.,620
,,
34,Pe,1057
34,lângă,776
34,faptul,433
34,că,101
34,a,114
34,fost,1299
34,regină,383
34,Regatului,789
34,Unit,244
34,al,434
34,Marii,249
34,Britanii,431
34,și,187
34,"Irlandei,",399
34,primul,669
34,monarh,555
34,care,185
34,folosit,185
34,titlul,307
34,de,290
34,Împărăteasă,486
34,Indiei.,502
,,
35,"Adesea,",991
35,paginile,559
35,de,123
35,discuții,1246
35,ale,153
35,subiectelor,999
35,controversate,702
35,pot,308
35,fi,311
35,foarte,186
35,intens,369
35,utilizate.,1255
,,
36,Elementul,1726
36,central,327
36,al,105
36,mănăstirii,1182
36,renovate,1308
36,a,63
36,fost,246
36,un,122
36,altar,187
36,dedicat,310
36,lui,332
36,Edward.,268
,,
37,Mulți,1150
37,protiști,1922
37,de,434
37,apă,309
37,dulce,370
37,au,123
37,vacuole,1474
37,contractile,1630
37,care,309
37,pompează,866
37,excesul,869
37,din,248
37,interiorul,1792
37,menținând,1166
37,"celulă,",809
37,astfel,572
37,o,61
37,concentrație,1675
37,adecvată,495
37,ioni,248
37,și,373
37,molecule,620
37,în,308
37,celulei.,559
,,
38,Prin,557
38,"urmare,",484
38,indiferent,1381
38,cât,179
38,de,462
38,mult,664
38,argou,561
38,folosiți,555
38,în,122
38,limba,353
38,dvs.,372
38,"maternă,",732
38,limitarea,469
38,utilizării,1295
38,argoului,679
38,franceză,817
38,(proporțional,1190
38,cu,65
38,nivelul,622
38,fluență),429
38,va,61
38,"limita,",1029
38,ascultătorii,1877
38,"asemenea,",892
38,sunteți,1499
38,tratat,318
38,condescendență,3384
38,și,544
38,râsul,316
38,către,600
38,nativi.,267
,,
39,Dacă,864
39,"nu,",622
39,masați,933
39,ușor,331
39,mușchiul,1574
39,"înghesuit,",739
39,puteți,434
39,"încerca,",772
39,de,116
39,"asemenea,",567
39,să,232
39,aplicați,953
39,gheață.,682
,,
40,Analizatorul,1938
40,lexical,1099
40,este,477
40,partea,375
40,din,368
40,compilator,993
40,care,496
40,elimină,555
40,spațiile,370
40,albe,1395
40,și,52
40,alte,1114
40,caractere,1234
40,necompilabile,2170
40,codul,529
40,sursă.,500
,,
41,Atunci,1177
41,când,313
41,un,167
41,text,116
41,nu,517
41,susține,1244
41,această,308
41,"regulă,",1056
41,chiar,248
41,și,243
41,elev,267
41,sârguincios,2394
41,este,371
41,nevoit,621
41,materialul.,1340
41,inutil,885
41,repete,582
41,să,168
,,
42,Cu,311
42,toate,311
42,"acestea,",433
42,Washingtonul,1181
42,a,124
42,devenit,632
42,foarte,334
42,îngrijorat,989
42,de,373
42,faptul,311
42,că,61
42,partidele,1214
42,sfârșitul,695
42,"Franța,",421
42,câștiga,644
42,ar,255
42,locale,1231
42,comuniste,951
42,putea,369
42,puterea,616
42,în,123
42,Italia,433
42,și,60
42,Grecia,490
42,la,123
42,anilor,584
42,postbelice,750
42,europene,1327
42,economiei,912
42,precară,1526
42,starea,575
42,vedere,830
42,având,562
42,"1940,",1637
42,apropierea,2039
42,Uniunii,628
42,Sovietice.,310
,,
43,După,550
43,"război,",317
43,Hitler,367
43,a,66
43,rămas,392
43,în,100
43,armată,373
43,"și,",122
43,după,309
43,ce,124
43,primit,495
43,cursuri,681
43,informații,724
43,partidele,564
43,infiltrarea,749
43,însărcinat,1544
43,"oratorie,",1305
43,devenit,367
43,ofițer,399
43,de,501
43,cu,184
43,politice,1349
43,raportarea,620
43,către,247
43,superiorii,616
43,săi,184
43,privire,367
43,la,63
43,activitățile,555
43,acestora.,678
,,
44,În,1216
44,aceste,333
44,"cazuri,",1007
44,rolul,369
44,agentului,668
44,de,229
44,punere,1211
44,în,124
44,aplicare,1046
44,este,306
44,a,185
44,furniza,491
44,inputurile,1115
44,"inclusiv,",492
44,"bază,",557
44,dar,215
44,"numai,",1813
44,capitalul,739
44,care,435
44,va,167
44,da,368
44,startul,442
44,proiectului,685
44,și,232
44,permite,560
44,plecarea,680
44,după,559
44,impuls,1152
44,propriul,1463
44,continue,783
44,să,247
44,acestuia,742
44,sub,250
44,aplicare.,433
,,
45,În,435
45,"general,",1220
45,le,100
45,este,600
45,mai,294
45,bine,309
45,să,60
45,își,123
45,folosească,805
45,"Ne-ul,",1914
45,precum,450
45,și,293
45,capacitățile,932
45,de,494
45,ale,1174
45,raționament,934
45,lui,1026
45,"Ti,",101
45,pentru,800
45,a,65
45,afla,407
45,"adevărul,",682
45,decât,499
45,se,62
45,bazeze,309
45,pe,184
45,tradițiile,1049
45,Si.,399
,,
46,Este,248
46,posibil,494
46,ca,51
46,unele,51
46,părți,667
46,să,547
46,nu,186
46,fie,187
46,consumate,1686
46,"niciodată,",801
46,iar,768
46,altele,526
46,sunt,249
46,procesate,862
46,suplimentare,1890
46,mod,638
46,în,124
46,normal,599
46,și,201
46,carne,818
46,cușer,682
46,Statele,684
46,"Unite,",391
46,din,168
46,cauza,282
46,muncii,499
46,care,372
46,implică.,372
,,
47,Două,699
47,sau,547
47,mai,284
47,multe,383
47,state,356
47,nu,184
47,vor,372
47,încheia,497
47,niciun,557
47,"tratat,",300
47,confederație,783
47,alianță,699
47,între,436
47,"reunit,",743
47,și,123
47,se,374
47,"ele,",620
47,fără,247
47,consimțământul,2901
47,Statelor,818
47,Unite,715
47,în,186
47,Congresul,1663
47,specificând,983
47,cu,102
47,exactitate,1624
47,acestuia.,868
47,durata,822
47,încheie,870
47,pentru,1158
47,scopurile,1188
47,care,538
47,de,280
47,valabilitate,951
47,a,51
,,
48,Până,232
48,la,384
48,începutul,500
48,secolului,1137
48,al,435
48,"XIX-lea,",1011
48,naturaliștii,1033
48,și,168
48,oamenii,794
48,de,122
48,știință,619
48,au,61
48,observat,614
48,cei,344
48,proveneau,593
48,între,592
48,esențiale,1072
48,diferențe,749
48,compușii,740
48,care,482
48,din,218
48,ființe,383
48,vii,448
48,nu,1291
48,vii.,167
,,
49,A,151
49,avut,318
49,un,525
49,dosar,432
49,de,165
49,serviciu,1555
49,exemplar,652
49,și,247
49,a,125
49,primit,574
49,prestigioasa,1060
49,Cruce,310
49,"Fier,",310
49,atât,767
49,clasa,335
49,cât,701
49,"II-a,",308
49,"obținut,",494
49,"asemenea,",432
49,gradul,475
49,caporal.,334
,,
50,În,268
50,etapa,414
50,"finală,",812
50,unul,123
50,dintre,557
50,hidrogenii,1113
50,moleculei,1429
50,de,681
50,apă,234
50,legată,1198
50,este,244
50,atacat,554
50,o,167
50,altă,751
50,moleculă,1258
50,"apă,",246
50,lăsând,430
50,un,668
50,alcool.,333
,,
51,Este,805
51,important,435
51,ca,310
51,atunci,739
51,când,316
51,planificați,783
51,o,101
51,lecție,490
51,de,183
51,învățare,685
51,mixtă,554
51,în,187
51,clasele,433
51,primare,1183
51,vă,173
51,să,115
51,concentrați,680
51,pe,186
51,unitate,309
51,"studiu,",514
51,apoi,334
51,împletiți,650
51,cu,115
51,tehnologia.,831
,,
52,Cele,246
52,mai,186
52,multe,372
52,interogări,927
52,DNS,496
52,(cum,556
52,fi,185
52,cererile,559
52,de,746
52,rezolvare,572
52,a,284
52,numelui),881
52,utilizează,672
52,"mică,",646
52,sarcină,1123
52,deoarece,680
52,"UDP,",757
52,conexiuni,1601
52,cantitatea,1767
52,date,874
52,transferate,685
52,este,217
52,iar,282
52,stabilirea,1051
52,nume.,1481
52,sesiunii,1114
52,ar,151
52,introduce,583
52,un,217
52,trafic,398
52,și,186
52,o,123
52,inutile,2381
52,asupra,764
52,serverelor,744
,,
53,Unii,851
53,elevi,352
53,consideră,625
53,că,248
53,ablativul,685
53,este,184
53,"dificil,",434
53,deoarece,495
53,uneori,494
53,seamănă,492
53,cu,309
53,nominativul,1367
53,"singular,",818
53,dativul,370
53,plural,310
53,sau,309
53,niciunul,375
53,dintre,308
53,acestea.,233
53,sămânța.,233
,,
54,La,351
54,multe,266
54,specii,526
54,"anuale,",681
54,în,123
54,condiții,678
54,nefavorabile,942
54,de,168
54,uscăciune,483
54,sau,215
54,"frig,",117
54,există,350
54,doar,929
54,sămânța.,802
,,
55,Cu,300
55,toate,217
55,"acestea,",415
55,ploile,530
55,abundente,739
55,și,185
55,persistente,1590
55,furtunile,833
55,pot,235
55,provoca,663
55,inundații,1470
55,ploi.,735
55,cauzată,783
55,gravă,1317
55,înnămolire,1332
55,a,124
55,"solului,",493
55,precum,494
55,eroziune,1106
55,de,311
,,
56,Pierderea,1148
56,în,101
56,greutate,282
56,necesită,434
56,ca,116
56,aportul,481
56,de,1049
56,calorii,496
56,să,51
56,fie,116
56,mai,125
56,mic,495
56,decât,184
56,producția,522
56,"calorii,",961
56,deși,248
56,niciuna,310
56,dintre,310
